State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
North Carolina,Harnett,0.0434637801831806,0.0244004295430139,2.44004295430139,4.3463780183180605,1.9063350640166705,"- **Harnett, North Carolina**: +1.9% (from 2.4% to 4.3%)"
Indiana,Lake,0.0438691973473587,0.0254918259905791,2.54918259905791,4.38691973473587,1.8377371356779602,"- **Lake, Indiana**: +1.8% (from 2.5% to 4.4%)"
Tennessee,Hamilton,0.0432901459205082,0.0249637189270165,2.4963718927016503,4.32901459205082,1.8326426993491696,"- **Hamilton, Tennessee**: +1.8% (from 2.5% to 4.3%)"
Florida,Sarasota,0.03420455170355,0.0166139177435684,1.66139177435684,3.4204551703550004,1.7590633959981603,"- **Sarasota, Florida**: +1.8% (from 1.7% to 3.4%)"
Kentucky,Hardin,0.0933200315916365,0.0759133579875645,7.59133579875645,9.33200315916365,1.7406673604071994,"- **Hardin, Kentucky**: +1.7% (from 7.6% to 9.3%)"
Georgia,Lowndes,0.0663993285461158,0.0492547906316536,4.925479063165359,6.63993285461158,1.7144537914462203,"- **Lowndes, Georgia**: +1.7% (from 4.9% to 6.6%)"
New York,Jefferson,0.0475654376583169,0.0311248999199359,3.11248999199359,4.75654376583169,1.6440537738381003,"- **Jefferson, New York**: +1.6% (from 3.1% to 4.8%)"
Maryland,Prince George's County,0.0389159042830847,0.0228021050903419,2.28021050903419,3.8915904283084704,1.6113799192742801,"- **Prince George's County, Maryland**: +1.6% (from 2.3% to 3.9%)"
Alabama,Morgan,0.0440982307895431,0.0282241908916885,2.82241908916885,4.40982307895431,1.58740398978546,"- **Morgan, Alabama**: +1.6% (from 2.8% to 4.4%)"
Oklahoma,Comanche,0.1096678330057997,0.0938765552573798,9.38765552573798,10.96678330057997,1.5791277748419894,"- **Comanche, Oklahoma**: +1.6% (from 9.4% to 11.0%)"
Illinois,Macon,0.1008266006631485,0.0852193884874874,8.521938848748741,10.08266006631485,1.5607212175661083,"- **Macon, Illinois**: +1.6% (from 8.5% to 10.1%)"
Arkansas,Pulaski,0.084598294629448,0.0694145893829115,6.9414589382911505,8.4598294629448,1.5183705246536494,"- **Pulaski, Arkansas**: +1.5% (from 6.9% to 8.5%)"
Mississippi,De Soto,0.0728961627778392,0.0577478779122268,5.77478779122268,7.28961627778392,1.5148284865612398,"- **De Soto, Mississippi**: +1.5% (from 5.8% to 7.3%)"
Texas,Midland,0.0365244503833794,0.0216251191935703,2.16251191935703,3.6524450383379397,1.4899331189809097,"- **Midland, Texas**: +1.5% (from 2.2% to 3.7%)"
District of Columbia,District Of Columbia,0.0526454711101272,0.0378886231636487,3.7888623163648703,5.26454711101272,1.47568479464785,"- **District Of Columbia, District of Columbia**: +1.5% (from 3.8% to 5.3%)"
Georgia,Douglas,0.0380609851446442,0.0238531530393024,2.38531530393024,3.80609851446442,1.42078321053418,"- **Douglas, Georgia**: +1.4% (from 2.4% to 3.8%)"
Pennsylvania,Philadelphia,0.0896530894634441,0.0758818660139194,7.58818660139194,8.96530894634441,1.3771223449524692,"- **Philadelphia, Pennsylvania**: +1.4% (from 7.6% to 9.0%)"
Illinois,Rock Island,0.0689550926180399,0.0552420797665905,5.52420797665905,6.895509261803991,1.3713012851449404,"- **Rock Island, Illinois**: +1.4% (from 5.5% to 6.9%)"
Indiana,Madison,0.0609153906801112,0.0473534045905548,4.73534045905548,6.09153906801112,1.3561986089556406,"- **Madison, Indiana**: +1.4% (from 4.7% to 6.1%)"
Florida,Pinellas,0.0301722141421253,0.0166686741964476,1.66686741964476,3.01722141421253,1.3503539945677703,"- **Pinellas, Florida**: +1.4% (from 1.7% to 3.0%)"
Arkansas,Saline,0.0533114227844231,0.0399281839116349,3.99281839116349,5.33114227844231,1.3383238872788201,"- **Saline, Arkansas**: +1.3% (from 4.0% to 5.3%)"
North Carolina,Durham,0.0314989085967879,0.0183551424003789,1.83551424003789,3.1498908596787905,1.3143766196409004,"- **Durham, North Carolina**: +1.3% (from 1.8% to 3.1%)"
Maryland,Washington,0.047672061888042,0.0346126203823487,3.46126203823487,4.7672061888042006,1.3059441505693306,"- **Washington, Maryland**: +1.3% (from 3.5% to 4.8%)"
Alabama,Madison,0.0381588439761274,0.0251392942425046,2.5139294242504597,3.8158843976127397,1.30195497336228,"- **Madison, Alabama**: +1.3% (from 2.5% to 3.8%)"
Texas,Lubbock,0.0621503124693256,0.0491822787392472,4.91822787392472,6.2150312469325595,1.2968033730078394,"- **Lubbock, Texas**: +1.3% (from 4.9% to 6.2%)"
Illinois,Saint Clair,0.0893314031780231,0.0765064319566689,7.650643195666889,8.93314031780231,1.282497122135421,"- **Saint Clair, Illinois**: +1.3% (from 7.7% to 8.9%)"
West Virginia,Monongalia,0.0575327436055681,0.0447866132320888,4.47866132320888,5.75327436055681,1.2746130373479305,"- **Monongalia, West Virginia**: +1.3% (from 4.5% to 5.8%)"
North Carolina,Buncombe,0.0280446637237081,0.0160876849478209,1.60876849478209,2.8044663723708103,1.1956978775887204,"- **Buncombe, North Carolina**: +1.2% (from 1.6% to 2.8%)"
